GeneID	Max_3_UTR
ARHGEF3	1849
ARHGEF35	845
ARHGEF37	2775
ARHGEF39	2643
ARHGEF4	1063
ARHGEF40	1233
ARHGEF5	575
ARHGEF6	2477
ARHGEF7	2862
ARHGEF9	3242
ARID1A	1347
ARID1B	2887
ARID2	2958
ARID3A	3871
ARID3B	2356
ARID3C	408
ARID4A	1883
ARID4B	1629
ARID5A	324
ARID5B	3913
ARIH1	19694
ARIH2	3158
ARL1	2523
ARL10	10013
ARL13B	2414
ARL14EP	1427
ARL15	2618
ARL16	542
ARL17A	4600
ARL17B	1689
ARL2	328
ARL2BP	1367
ARL3	3162
ARL4A	2100
ARL4C	2966
ARL4D	798
ARL5A	4478
ARL5B	6422
ARL6	3204
ARL6IP1	1584
ARL6IP4	326
ARL6IP5	1455
ARL6IP6	2555
ARL8A	1111
ARL8B	2197
ARMC1	1937
ARMC10	1209
ARMC2	959
ARMC4	343
ARMC5	1965
ARMC6	547
ARMC7	1454
ARMC8	2493
ARMC9	5312
ARMCX1	399
ARMCX2	408
ARMCX3	1723
ARMCX4	348
ARMCX5	338
ARMCX6	599
ARMH3	1928
ARMH4	3970
ARMT1	988
ARNT	2306
ARNT2	4234
ARNTL	508
ARNTL2	5348
ARPC1A	332
ARPC1B	326
ARPC2	432
ARPC3	331
ARPC4	1508
ARPC5	6685
ARPC5L	792
ARPIN	6788
ARPP19	4888
ARRB1	6040
ARRB2	551
ARRDC1	267
ARRDC2	1135
ARRDC3	2768
ARRDC4	2645
ARSA	2390
ARSB	3185
ARSG	2267
ARSI	870
ARSJ	1989
ARSK	1575
ART5	303
ARTN	474
ARV1	595
ARVCF	847
ASAH1	1541
ASAH2	2453
ASAH2B	4511
ASAP1	2625
ASAP2	2355
ASAP3	1292
ASB1	5738
ASB13	1835
ASB14	1276
ASB16	693
ASB3	522
ASB6	3747
ASB7	3236
ASB8	2209
ASCC1	1418
ASCC2	401
ASCC3	2804
ASF1A	1555
ASF1B	946
ASGR1	227
ASH1L	2391
ASH2L	1008
ASIC1	1972
ASIC3	101
ASL	660
ASMTL	129
ASNS	581
ASNSD1	104
ASPDH	126
ASPH	2802
ASPHD1	158
ASPHD2	1808
ASPM	196
ASPRV1	565
ASPSCR1	83
ASRGL1	1127
ASS1	252
ASTE1	183
ASTN1	3219
ASTN2	2738
ASXL1	1980
ASXL2	8275
ASXL3	4598
ATAD1	3174
ATAD2	1282
ATAD2B	3381
ATAD3A	614
ATAD3B	2030
ATAD3C	1631
ATAD5	951
ATAT1	1655
ATE1	3258
ATF1	1382
ATF2	2600
ATF3	1671
ATF4	83
ATF5	843
ATF6	5415
ATF6B	474
ATF7	5082
ATF7IP	4861
ATF7IP2	1738
ATG10	2065
ATG101	304
ATG12	3663
ATG13	3685
ATG14	3227
ATG16L1	1323
ATG16L2	244
ATG2A	426
ATG2B	6559
ATG3	1685
ATG4A	958
ATG4B	1650
ATG4C	1354
ATG4D	350
ATG5	2199
ATG7	2821
ATG9A	1066
ATG9B	562
ATIC	108
ATL1	726
ATL2	2528
ATL3	5231
ATM	3593
ATMIN	2379
ATN1	540
ATOX1	137
ATP10D	2104
ATP11A	5292
ATP11B	3524
ATP11C	2614
ATP12A	970
ATP13A1	220
ATP13A2	262
ATP13A3	3244
ATP1A1	331
ATP1A3	354
ATP1B1	1163
ATP1B2	1875
ATP1B3	846
ATP23	2257
ATP2A1	331
ATP2A2	4621
ATP2A3	1563
ATP2B1	3233
ATP2B4	4509
ATP2C1	1851
ATP5F1A	4033
ATP5F1B	147
ATP5F1C	140
ATP5F1D	387
ATP5F1E	3366
ATP5IF1	1648
ATP5MC1	100
ATP5MC2	153
ATP5MC3	2794
ATP5MD	115
ATP5ME	63
ATP5MF	168
ATP5MG	748
ATP5MGL	168
ATP5MPL	377
ATP5PB	1778
ATP5PD	68
ATP5PF	159
ATP5PO	72
ATP6AP1	624
ATP6AP1L	1631
ATP6AP2	1092
ATP6V0A1	1490
ATP6V0A2	3721
ATP6V0B	883
ATP6V0C	477
ATP6V0D1	508
ATP6V0E1	1046
ATP6V0E2	1377
ATP6V1A	2628
ATP6V1B1	309
ATP6V1B2	1293
ATP6V1C1	4303
ATP6V1C2	1846
ATP6V1D	748
ATP6V1E1	537
ATP6V1E2	183
ATP6V1F	268
ATP6V1FNB	3271
ATP6V1G1	1135
ATP6V1H	420
ATP7A	3824
ATP7B	2084
ATP8A1	4540
ATP8A2	5865
ATP8B1	2061
ATP8B2	2185
ATP9A	4694
ATP9B	898
ATPAF1	736
ATPAF2	527
ATPSCKMT	2113
ATR	193
ATRAID	233
ATRN	4267
ATRNL1	4218
ATRX	3472
ATXN1	7747
ATXN10	1635
ATXN1L	5517
ATXN2	597
ATXN2L	971
ATXN3	5862
ATXN7	3992
ATXN7L1	3077
ATXN7L2	212
ATXN7L3	2457
ATXN7L3B	7023
AUH	532
AUNIP	986
AUP1	147
AURKA	768
AURKAIP1	64
AURKB	139
AURKC	130
AUTS2	3730
AVEN	385
AVIL	505
AVL9	4818
AVPI1	444
AVPR1A	4599
AXIN1	681
AXIN2	1410
AZI2	2993
AZIN1	2265
AZIN2	3309
B2M	1270
B3GALNT1	1875
B3GALNT2	3015
B3GALT6	1771
B3GAT1	2243
B3GAT3	905
B3GLCT	2605
B3GNT2	1316
B3GNT4	1563
B3GNT5	2449
B3GNT7	2238
B3GNT9	1172
B4GALNT1	3334
B4GALNT3	2048
B4GALNT4	324
B4GALT1	2812
B4GALT2	722
B4GALT3	505
B4GALT4	806
B4GALT5	3365
B4GALT6	4577
B4GALT7	634
B4GAT1	674
B9D1	3023
B9D2	282
BABAM1	304
BABAM2	450
BACE1	4358
BACE2	7102
BACH1	3314
BACH2	5879
BAD	380
BAG1	2747
BAG2	5642
BAG3	534
BAG4	2807
BAG5	3276
BAG6	106
BAHCC1	2513
BAHD1	2105
BAIAP2	1664
BAIAP2L1	1870
BAIAP2L2	398
BAK1	1250
BAMBI	530
BANF1	376
BANP	656
BAP1	1278
BARD1	3029
BARHL2	772
BARX1	536
BARX2	876
BASP1	944
BATF3	373
BAX	700
BAZ1A	776
BAZ1B	1788
BAZ2A	3021
BAZ2B	1285
BBC3	977
BBIP1	1753
BBOF1	1392
BBS1	1560
BBS10	1338
BBS12	917
BBS2	415
BBS4	888
BBS5	2072
BBS7	1530
BBS9	842
BBX	5881
BCAM	1091
BCAN	505
BCAP31	444
BCAR1	1329
BCAR3	499
BCAS2	569
BCAS3	817
BCAS4	641
BCAT1	7983
BCAT2	361
BCCIP	1442
BCDIN3D	2327
BCHE	477
BCKDHA	393
BCKDHB	2465
BCKDK	759
BCL10	1850
BCL11A	3209
BCL11B	4862
BCL2	5278
BCL2L1	1490
BCL2L11	4312
BCL2L12	218
BCL2L13	4164
BCL2L2	2793
BCL3	428
BCL6	1080
BCL7A	2880
BCL7B	941
BCL7C	1321
BCL9	1254
BCL9L	4539
BCLAF1	4482
BCLAF3	4442
BCOR	862
BCORL1	1946
BCR	2514
BCS1L	56
BDH1	2111
BDH2	2109
BDP1	2934
BECN1	769
BEGAIN	821
BEND3	3522
BEND4	6872
BEND6	2742
BEND7	687
BEST1	2365
BET1	984
BET1L	2545
BEX1	245
BEX2	243
BEX3	336
BEX4	727
BFAR	1408
BFSP1	168
BHLHE22	1689
BHLHE40	1630
BHLHE41	2035
BICC1	2543
BICD1	6093
BICD2	3790
BICDL1	1333
BICRA	861
BICRAL	3113
BID	1439
BIK	406
BIN1	502
BIN3	990
BIRC2	486
BIRC3	2300
BIRC5	2080
BIRC6	993
BIVM	1667
BLCAP	1493
BLM	886
BLMH	813
BLOC1S1	97
BLOC1S2	2183
BLOC1S3	1894
BLOC1S4	798
BLOC1S6	3321
BLVRA	106
BLVRB	120
BLZF1	1122
BMF	3899
BMI1	1941
BMP1	597
BMP2	1156
BMP2K	1039
BMP3	4095
BMP4	295
BMP6	1384
BMP7	2205
BMP8A	4070
BMP8B	3236
BMPR1A	1468
BMPR1B	3776
BMPR2	7802
BMS1	3840
BMT2	2596
BNC1	1556
BNC2	10129
BNIP1	465
BNIP2	4922
BNIP3	840
BNIP3L	2714
BNIPL	1032
BOC	1073
BOD1	1147
BOD1L1	1270
BOD1L2	2578
BOK	1708
BOLA1	321
BOLA2-SMG1P6	513
BOLA3	192
BOP1	118
BORA	981
BORCS5	5455
BORCS6	721
BORCS7	2036
BORCS8	692
BPGM	783
BPHL	999
BPNT1	1361
BPTF	2089
BRAF	7156
BRAP	2052
BRAT1	258
BRCA1	1488
BRCA2	901
BRCC3	1851
BRD1	954
BRD2	787
BRD3	3265
BRD3OS	4584
BRD4	2243
BRD7	3253
BRD8	323
BRD9	726
BRF1	1264
BRF2	1221
BRI3	301
BRI3BP	5799
BRICD5	108
BRINP2	893
BRIP1	4156
BRIX1	500
BRK1	894
BRMS1	542
BRMS1L	1485
BROX	2540
BRPF1	666
BRPF3	2180
BRSK1	466
BRSK2	1965
BRWD1	10776
BRWD3	7105
BSCL2	259
BSDC1	3699
BSG	743
BSN	3959
BSPRY	1581
BST2	387
BTAF1	2503
BTBD1	1796
BTBD10	834
BTBD11	1923
BTBD19	356
BTBD2	1039
BTBD3	2928
BTBD6	420
BTBD7	4722
BTBD8	392
BTBD9	6533
BTD	8225
BTF3	384
BTF3L4	3995
BTG1	3801
BTG2	2162
BTG3	439
BTN2A1	1895
BTN2A2	2576
BTN3A1	2677
BTN3A2	2797
BTN3A3	1003
BTNL9	1657
BTRC	4166
BUB1	435
BUB1B	376
BUB3	6631
BUD13	311
BUD23	325
BUD31	174
BVES	4264
BYSL	339
BZW1	5157
BZW2	434
C10orf88	1525
C10orf95	614
C11orf1	2094
C11orf24	306
C11orf45	2991
C11orf49	1052
C11orf54	3060
C11orf58	3235
C11orf68	646
C11orf71	1425
C11orf80	281
C11orf95	3525
C11orf96	604
C11orf98	232
C12orf10	27
C12orf29	1737
C12orf4	2076
C12orf43	3666
C12orf45	22928
C12orf49	7638
C12orf57	80
C12orf60	741
C12orf65	928
C12orf66	2761
C12orf73	1328
C12orf75	884
C12orf76	1173
C14orf119	2374
C14orf132	7235
C14orf28	1706
C14orf39	888
C14orf93	1320
C15orf39	1052
C15orf40	10779
C15orf41	1899
C15orf61	3599
C15orf62	1425
C15orf65	225
C16orf46	573
C16orf58	1359
C16orf70	1412
C16orf72	4722
C16orf74	489
C16orf87	6467
C16orf90	354
C16orf91	493
C16orf95	277
C17orf100	1205
C17orf113	1472
C17orf58	1004
C17orf67	439
C17orf75	3321
C17orf80	1614
C18orf21	359
C18orf25	3873
C18orf32	5101
C18orf54	3787
C19orf12	3872
C19orf18	164
C19orf25	1830
C19orf44	1258
C19orf47	2328
C19orf48	401
C19orf53	573
C19orf54	1909
C19orf57	453
C19orf71	19
C19orf73	230
C19orf81	161
C1D	1758
C1GALT1	4887
C1GALT1C1	535
C1GALT1C1L	223
C1orf109	1552
C1orf112	2025
C1orf115	2421
C1orf122	380
C1orf131	513
C1orf159	1069
C1orf174	826
C1orf198	2732
C1orf21	9462
C1orf216	1755
C1orf226	3134
C1orf35	399
C1orf43	920
C1orf50	4095
C1orf52	2674
C1orf54	89
C1orf56	936
C1orf74	3616
C1QBP	237
C1QL1	494
C1QL4	644
C1QTNF1	1699
C1QTNF12	94
C1QTNF3	2724
C1QTNF6	2021
C1R	312
C1RL	2402
C1S	379
C2	620
C20orf194	3269
C20orf204	241
C20orf27	549
C20orf96	343
C21orf58	868
C21orf91	4605
C22orf23	1124
C22orf39	1114
C2CD2	4011
C2CD2L	2287
C2CD3	670
C2CD4A	2193
C2CD4C	1650
C2CD5	1213
C2orf15	630
C2orf27A	201
C2orf42	475
C2orf49	3839
C2orf68	3690
C2orf69	2386
C2orf72	2695
C2orf74	301
C2orf76	254
C2orf81	152
C2orf88	3335
C3orf14	2801
C3orf33	904
C3orf38	1329
C3orf52	1550
C3orf62	2583
C3orf67	2177
C3orf70	6168
C3orf80	1833
C4orf19	2509
C4orf3	2359
C4orf33	4844
C4orf36	450
C4orf46	2937
C4orf48	43
C5orf15	1348
C5orf22	2146
C5orf24	4267
C5orf34	205
C5orf51	4336
C6orf120	3324
C6orf132	2641
C6orf136	289
C6orf141	567
C6orf201	280
C6orf226	217
C6orf47	765
C6orf52	37
C6orf62	1275
C6orf89	5522
C7orf25	361
C7orf26	564
C7orf31	1276
C7orf50	1194
C8orf33	1872
C8orf34	6041
C8orf37	2703
C8orf58	930
C8orf76	135
C8orf82	1608
C8orf88	535
C9orf116	331
C9orf16	308
C9orf40	1464
C9orf64	1198
C9orf72	1689
C9orf78	870
C9orf85	3399
CA11	172
CA12	4906
CA13	2723
CA14	418
CA2	703
CA8	4573
CAAP1	1615
CAB39	2370
CAB39L	2163
CABIN1	431
CABLES1	3102
CABLES2	2340
CABP1	423
CABYR	597
CACFD1	2190
CACHD1	1496
CACNA1B	2736
CACNA1C	6750
CACNA1G	719
CACNA1H	777
CACNA2D1	3947
CACNA2D2	2052
CACNA2D3	350
CACNB1	1739
CACNB2	3832
CACNB3	1041
CACNB4	6347
CACNG8	7365
CACTIN	1277
CACUL1	9716
CACYBP	1947
CAD	424
CADM1	7237
CADM4	961
CADPS2	1753
CALCB	554
CALCOCO1	3425
CALCOCO2	2239
CALD1	2383
CALHM2	365
CALHM5	8798
CALM1	3557
CALM2	693
CALM3	1628
CALML4	3309
CALR	575
CALU	4305
CAMK1	191
CAMK1D	6657
CAMK2B	2372
CAMK2D	3483
CAMK2G	2004
CAMK2N1	1257
CAMK2N2	943
CAMK4	10417
CAMKK1	1887
CAMKK2	3104
CAMKMT	478
CAMKV	1328
CAMLG	1202
CAMSAP1	2821
CAMSAP2	2643
CAMSAP3	246
CAMTA1	3214
CAMTA2	758
CAND1	7122
CAND2	820
CANT1	1833
CANX	2993
CAP1	1115
CAP2	1349
CAPG	144
CAPN1	719
CAPN10	423
CAPN12	659
CAPN15	1119
CAPN2	1160
CAPN5	2281
CAPN7	1655
CAPNS1	513
CAPRIN1	3242
CAPRIN2	891
CAPS	888
CAPS2	2910
CAPZA1	1481
CAPZA2	4181
CAPZB	842
CARD10	796
CARD11	561
CARD14	985
CARD19	191
CARD6	907
CARD8	3889
CARD9	345
CARF	4724
CARHSP1	2221
CARM1	1315
CARMIL1	946
CARMIL2	50
CARNMT1	2976
CARS1	258
CARS2	419
CASC3	1724
CASC4	2351
CASD1	1257
CASK	5483
CASKIN1	1369
CASKIN2	818
CASP10	4072
CASP2	2756
CASP3	1739
CASP6	701
CASP7	1480
CASP8	1116
CASP8AP2	626
CASP9	1541
CASS4	1633
CAST	2041
CASTOR2	6819
CASTOR3	1948
CASZ1	2335
CAT	626
CATSPERG	150
CAV1	1897
CAV2	2419
CAVIN1	2237
CAVIN4	1935
CBARP	2605
CBFA2T2	5384
CBFB	2322
CBL	8367
CBLB	3508
CBLL1	2488
CBR1	1224
CBR3	49
CBR4	2558
CBS	688
CBWD1	428
CBWD2	460
CBWD3	447
CBWD5	424
CBWD6	424
CBX1	1375
CBX2	2940
CBX3	1398
CBX4	802
CBX5	10812
CBX6	4786
CBX7	3116
CBX8	2502
CBY1	614
CC2D1A	483
CC2D1B	2925
CC2D2A	1050
CCAR1	1110
CCAR2	1831
CCBE1	4968
CCDC102A	559
CCDC103	2990
CCDC106	413
CCDC110	317
CCDC112	687
CCDC113	4052
CCDC114	523
CCDC115	1186
CCDC117	2974
CCDC12	326
CCDC120	1745
CCDC121	1323
CCDC122	926
CCDC124	269
CCDC125	2554
CCDC126	1592
CCDC127	8428
CCDC130	220
CCDC134	475
CCDC136	331
CCDC137	1192
CCDC138	503
CCDC14	1351
CCDC142	1713
CCDC144A	4350
CCDC146	337
CCDC149	2271
CCDC15	777
CCDC150	243
CCDC157	1927
CCDC159	66
CCDC163	1300
CCDC167	247
CCDC169	5196
CCDC17	230
CCDC173	415
CCDC174	1460
CCDC18	252
CCDC181	176
CCDC183	50
CCDC186	4280
CCDC191	1017
CCDC22	258
CCDC24	365
CCDC25	2929
CCDC28A	515
CCDC28B	588
CCDC3	1790
CCDC30	3161
CCDC32	1057
CCDC34	1375
CCDC39	912
CCDC40	1733
CCDC43	1569
CCDC47	1624
CCDC50	6898
CCDC51	232
CCDC57	4130
