GeneID	Riboseq_control_1	Riboseq_control_2	Riboseq_sample_1	Riboseq_sample_2	RNAseq_control_1	RNAseq_control_2	RNAseq_control_3	RNAseq_sample_1	RNAseq_sample_2	RNAseq_sample_3
ACOX3	0	8	0	0	91	98	74	102	89	30
ACOXL	0	18	14	12	148	101	124	218	219	65
ACOXL-AS1	0	0	0	0	17	15	6	4	12	3
ACP1	10	56	54	100	1672	1743	1355	1568	1402	853
ACP2	20	10	18	0	133	147	190	154	230	89
ACP3	0	0	0	0	8	0	4	5	2	0
ACP4	0	0	0	0	12	14	21	27	19	7
ACP5	0	0	0	0	17	1	6	10	7	1
ACP6	6	0	2	34	429	444	275	829	750	229
ACP7	0	0	0	0	0	4	0	3	2	1
ACR	0	0	0	0	9	2	0	6	10	0
ACRBP	0	0	0	0	24	25	10	39	41	17
ACRV1	0	0	0	0	8	12	0	9	1	0
ACSBG1	0	2	0	0	18	9	14	15	14	6
ACSBG2	0	0	0	0	21	6	20	12	8	1
ACSF2	14	6	24	36	310	345	228	412	460	161
ACSF3	16	6	14	12	276	246	266	477	484	172
ACSL1	22	32	34	24	473	504	478	591	477	294
ACSL3	50	76	110	177	1591	1781	1446	1374	1219	1031
ACSL4	10	2	53	38	849	844	895	903	807	790
ACSL5	0	0	0	0	14	8	10	2	2	2
ACSL6	0	0	12	0	74	66	31	40	23	22
ACSM1	5	0	1	0	5	13	0	0	7	0
ACSM2A	0	0	0	0	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0	0	0	0	0
ACSM3	2	0	0	14	35	37	32	46	53	31
ACSM4	0	0	0	0	0	1	0	0	4	1
ACSM5	0	0	0	0	0	0	0	0	0	0
ACSM6	2	0	0	0	0	0	0	0	0	0
ACSS1	10	0	6	6	225	219	225	347	365	159
ACSS2	0	0	0	24	107	114	124	139	151	103
ACSS3	0	0	0	0	14	21	11	19	12	8
ACTA1	0	0	14	58	24	18	15	18	29	4
ACTA2	11	2	54	50	172	141	157	233	270	68
ACTA2-AS1	0	0	0	0	1	3	0	1	6	0
ACTB	252	207	642	1647	7629	8336	11081	9861	11264	6409
ACTBL2	0	4	0	0	44	28	12	52	46	14
ACTC1	6	0	0	2	4	1	0	3	2	0
ACTG1	553	547	1237	2859	12749	13870	15745	18702	19838	10619
ACTG1P17	0	0	0	0	21	11	6	13	20	8
ACTG1P20	16	44	58	110	199	155	209	220	195	160
ACTG1P4	6	0	10	28	22	18	31	37	38	34
ACTG2	0	0	0	0	1	0	4	0	4	0
ACTL10	0	0	0	0	6	8	2	3	4	2
ACTL6A	18	14	24	58	816	845	749	1100	1167	368
ACTL6B	0	0	0	0	2	0	0	0	0	0
ACTL7A	0	0	0	0	0	0	0	2	0	0
ACTL7B	0	0	0	0	0	0	0	0	0	0
ACTL8	0	0	0	0	3	0	1	4	6	0
ACTL9	0	0	0	0	0	0	0	0	0	0
ACTN1	44	74	148	190	733	864	901	993	1113	592
ACTN1-AS1	0	0	0	0	0	0	0	0	2	0
ACTN2	30	4	0	0	271	261	148	321	268	105
ACTN3	0	0	0	0	0	6	5	5	10	2
ACTN4	245	316	574	537	4412	4148	5503	7341	7462	2111
ACTR10	6	18	40	68	357	286	393	294	303	206
ACTR1A	22	40	24	96	815	840	834	1179	1160	655
ACTR1B	0	18	36	72	756	641	515	883	953	390
ACTR2	121	139	306	328	7846	7550	7436	5769	5666	3897
ACTR3	46	106	189	236	1179	1278	1350	1213	1175	913
ACTR3-AS1	0	10	0	4	28	44	9	41	28	26
ACTR3B	0	8	0	4	145	146	153	182	189	90
ACTR3BP2	0	0	0	0	1	3	0	3	3	1
ACTR3BP5	0	0	0	0	2	8	5	7	10	0
ACTR3C	0	0	0	0	75	60	35	79	70	17
ACTR5	0	0	0	0	102	79	122	104	122	48
ACTR6	6	6	8	110	653	629	548	637	477	328
ACTR8	24	18	36	8	409	374	384	549	494	227
ACTRT1	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0
ACTRT3	0	0	0	0	35	35	33	17	30	11
ACVR1	6	0	26	29	312	250	279	369	387	173
ACVR1B	10	22	28	36	1736	1642	1410	2068	1946	720
ACVR1C	0	0	0	0	179	160	120	94	126	88
ACVR2A	6	8	6	0	243	229	176	237	240	141
ACVR2B	12	24	0	48	1675	1933	1265	1475	1455	734
ACVR2B-AS1	0	0	0	14	31	58	36	56	58	46
ACVRL1	0	0	0	0	92	55	47	58	47	34
ACY1	8	0	0	0	6	3	10	8	15	4
ACY3	0	0	0	0	0	0	0	2	0	0
ACYP1	4	4	6	4	318	319	290	390	384	137
ACYP2	18	0	2	16	120	88	83	136	144	65
ADA	0	0	10	32	95	109	84	130	159	63
ADA2	0	0	0	0	1	2	3	3	2	0
ADAD1	0	0	0	0	0	0	0	0	0	0
ADAD2	0	0	0	0	0	1	0	0	2	0
ADAL	0	0	0	10	162	140	190	128	151	128
ADAM10	8	66	62	96	1276	1411	1161	1351	1213	814
ADAM11	6	1	6	22	648	722	615	868	861	436
ADAM12	0	0	0	0	156	171	115	190	248	106
ADAM15	20	6	36	12	628	624	429	1053	1227	443
ADAM17	78	126	18	74	617	548	396	496	480	272
ADAM18	0	0	0	0	0	0	0	0	0	0
ADAM19	0	18	0	0	183	197	175	208	216	92
ADAM2	0	0	0	0	0	0	0	0	0	0
ADAM20	0	0	0	0	0	0	0	0	2	1
ADAM20P1	0	0	0	0	9	4	4	15	16	2
ADAM21	0	0	0	8	29	41	20	48	41	16
ADAM21P1	0	0	0	16	3	2	0	1	0	1
ADAM22	8	0	6	8	696	666	399	578	566	283
ADAM23	4	24	32	21	465	437	407	438	426	245
ADAM28	0	0	0	0	5	1	0	0	3	2
ADAM29	0	0	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0	0	0
ADAM32	0	0	0	0	6	12	2	0	2	0
ADAM33	0	0	0	0	4	4	4	1	3	2
ADAM3A	0	0	0	0	0	0	0	0	0	0
ADAM3B	0	0	0	0	0	0	0	0	0	0
ADAM5	0	0	0	0	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0	0	0	0	0
ADAM8	0	0	0	0	56	59	32	93	72	12
ADAM9	34	28	54	38	862	872	758	901	776	523
ADAMDEC1	0	0	0	0	0	0	0	0	0	0
ADAMTS1	378	540	683	1849	10307	10262	5222	15974	15729	7196
ADAMTS10	0	1	0	0	62	48	31	40	56	21
ADAMTS12	0	0	0	0	0	4	2	3	2	2
ADAMTS13	0	0	0	0	162	123	108	247	255	72
ADAMTS14	1	0	0	0	5	12	3	8	6	7
ADAMTS15	0	20	10	0	95	105	144	153	119	61
ADAMTS16	0	0	0	6	61	46	87	84	96	66
ADAMTS17	1	32	8	36	277	189	247	301	350	136
ADAMTS18	0	0	0	0	75	42	20	29	25	26
ADAMTS19	0	8	0	0	170	173	122	182	198	94
ADAMTS19-AS1	0	0	0	0	40	4	7	35	32	9
ADAMTS2	14	0	22	40	276	230	141	331	305	141
ADAMTS20	0	4	8	0	91	91	40	72	75	26
ADAMTS3	0	0	0	0	151	153	105	138	131	66
ADAMTS4	8	0	4	0	31	47	26	26	22	9
ADAMTS5	10	10	10	46	201	167	109	351	323	270
ADAMTS6	0	0	0	0	130	72	66	67	63	34
ADAMTS7	14	22	18	4	166	224	131	229	219	89
ADAMTS7P1	2	2	6	6	3	2	2	2	5	0
ADAMTS8	0	0	20	22	122	137	90	172	210	72
ADAMTS9	20	2	0	0	100	117	100	115	122	69
ADAMTS9-AS1	0	0	0	0	2	0	1	0	0	0
ADAMTS9-AS2	0	0	0	0	4	2	2	2	8	0
ADAMTSL1	0	0	0	2	6	6	3	10	17	4
ADAMTSL2	0	0	0	0	0	0	0	0	0	0
ADAMTSL3	0	1	0	0	50	44	42	58	43	28
ADAMTSL4	0	0	0	0	26	40	29	62	55	12
ADAMTSL4-AS1	0	0	0	0	4	10	3	6	8	3
ADAMTSL5	0	0	0	0	13	12	8	12	9	3
ADAP1	4	4	0	6	71	68	60	103	111	40
ADAP2	2	2	2	12	175	146	120	155	198	77
ADAR	70	74	94	177	3554	3304	3240	4003	3727	2013
ADARB1	60	16	0	42	676	538	453	688	712	251
ADARB2	0	0	0	0	5	8	2	8	6	0
ADARB2-AS1	0	0	0	0	0	0	0	0	0	0
ADAT1	16	10	32	10	344	263	315	437	434	206
ADAT2	12	10	14	20	1063	1106	670	1037	960	525
ADAT3	0	8	20	12	138	88	93	238	269	90
ADCK1	0	0	0	6	50	57	52	98	93	49
ADCK2	12	40	52	70	481	598	471	853	944	402
ADCK5	4	0	14	28	75	53	69	132	129	36
ADCY1	17	2	11	0	1077	1288	981	1156	1089	485
ADCY10	0	0	0	0	16	8	2	11	10	1
ADCY10P1	0	0	0	0	54	52	21	52	41	11
ADCY2	0	0	0	0	0	0	2	2	0	2
ADCY3	24	20	92	94	844	802	582	1293	1430	585
ADCY4	0	0	0	0	1	4	2	4	3	0
ADCY5	0	0	0	0	55	69	41	38	37	34
ADCY6	58	14	38	52	1203	1152	872	1305	1273	440
ADCY6-DT	0	0	0	0	21	11	5	33	26	6
ADCY7	12	6	14	18	228	238	236	384	424	134
ADCY8	0	0	0	0	1	0	0	0	4	0
ADCY9	34	28	26	50	759	741	576	1286	1375	498
ADCYAP1	0	0	0	0	0	6	0	0	2	0
ADCYAP1R1	0	0	0	0	31	24	11	10	12	0
ADD1	35	28	140	122	937	844	1051	1342	1301	621
ADD2	30	24	26	64	1340	1228	1000	1844	1840	669
ADD3	58	32	68	34	1639	1537	1299	1490	1336	1121
ADD3-AS1	0	0	0	0	2	2	0	12	3	7
ADGB	0	0	0	0	0	0	0	0	0	0
ADGRA1	0	0	0	0	6	0	0	0	0	0
ADGRA1-AS1	0	0	0	0	0	0	0	0	0	0
ADGRA2	2	2	2	20	99	151	112	127	159	83
ADGRA3	7	16	22	0	932	869	761	826	1028	470
ADGRB1	2	14	11	12	104	72	74	121	191	49
ADGRB2	1	7	15	2	244	290	163	257	260	84
ADGRB3	0	0	0	0	4	2	2	2	2	0
ADGRD1	0	0	0	0	2	4	0	2	0	0
ADGRD1-AS1	0	0	0	0	0	0	0	0	0	0
ADGRE1	0	0	0	0	0	0	0	2	0	0
ADGRE2	0	0	4	0	78	89	41	59	81	21
ADGRE3	0	0	0	0	0	0	0	0	0	0
ADGRE4P	0	0	0	0	0	0	0	0	0	1
ADGRE5	42	60	66	96	572	512	454	782	885	309
ADGRF1	0	0	0	0	0	0	0	0	0	0
ADGRF2	0	0	0	0	2	6	2	0	1	1
ADGRF3	8	0	0	0	10	14	7	39	17	7
ADGRF4	0	0	0	0	38	37	47	25	25	9
ADGRF5	0	0	0	0	3	0	0	0	1	0
ADGRF5-AS1	0	0	0	0	0	0	0	0	0	0
ADGRG1	0	0	0	0	5	8	5	4	2	1
ADGRG2	2	2	2	4	140	153	110	116	78	105
ADGRG3	0	0	0	0	0	0	0	0	0	0
ADGRG4	0	0	0	0	2	0	0	0	0	2
ADGRG5	0	0	0	0	0	0	0	1	0	0
ADGRG6	12	58	26	54	1072	1109	640	900	833	689
ADGRG7	0	0	0	0	0	0	0	0	0	0
ADGRL1	14	24	10	64	1688	1865	1179	2202	2303	826
ADGRL2	66	54	12	42	1842	1748	1283	1331	1039	844
ADGRL3	24	2	16	0	428	315	258	395	351	226
ADGRL3-AS1	0	0	0	0	0	0	0	0	0	0
ADGRL4	0	0	0	0	0	8	0	0	1	0
ADGRV1	24	6	7	4	938	914	512	824	689	395
ADH1A	0	0	0	0	0	0	1	0	0	0
ADH1B	0	0	0	0	0	0	0	0	0	0
ADH1C	0	0	0	0	0	0	0	1	0	0
ADH4	0	0	0	0	0	0	0	0	0	0
ADH5	6	2	42	30	448	443	465	425	426	343
ADH6	0	0	0	0	0	0	1	1	3	0
ADH7	0	0	0	0	0	0	0	0	0	0
ADHFE1	8	0	0	0	24	17	22	20	18	7
ADI1	0	10	24	2	890	823	978	798	745	446
ADIG	0	0	0	0	0	0	0	0	0	0
ADIPOQ	0	0	0	0	0	0	0	0	0	0
ADIPOQ-AS1	0	0	0	0	0	0	0	0	0	0
ADIPOR1	32	14	42	18	1392	1700	1470	1373	1435	751
ADIPOR2	40	42	76	36	2391	2514	2024	2029	1896	1118
ADIRF	0	0	0	0	13	1	1	14	12	2
ADK	82	20	50	52	397	450	431	461	421	245
ADM	22	32	0	62	398	405	248	536	638	217
ADM2	0	0	12	6	164	125	79	240	397	47
ADM5	0	0	0	0	98	164	100	166	221	103
ADNP	50	48	72	117	1106	1000	794	977	956	665
ADNP-AS1	0	0	0	0	33	29	2	15	18	10
ADNP2	72	62	36	34	883	879	772	1044	999	529
ADO	34	34	68	41	604	666	589	722	744	455
ADORA1	1	0	10	0	83	47	67	74	89	21
ADORA2A	0	0	0	0	20	28	9	18	34	7
ADORA2A-AS1	0	0	0	0	41	43	17	40	45	14
ADORA2B	12	4	26	40	210	229	166	251	237	133
ADORA3	0	0	0	0	0	0	0	0	0	0
ADPGK	2	12	24	112	1063	894	794	1243	1139	640
ADPGK-AS1	0	0	0	0	2	1	6	8	12	3
ADPRH	4	4	0	0	37	26	49	32	25	20
ADPRHL1	0	1	0	0	43	16	12	53	50	17
ADPRM	0	0	0	4	102	123	88	110	89	43
ADPRS	20	16	13	38	497	378	319	635	825	168
ADRA1A	0	0	0	0	2	2	4	0	0	2
ADRA1B	0	0	0	0	26	16	21	19	41	13
ADRA1D	0	0	0	0	6	2	4	6	4	4
ADRA2A	0	0	0	8	20	2	18	25	27	12
ADRA2B	0	0	0	0	12	8	11	12	22	4
ADRA2C	0	0	0	2	174	226	183	420	442	157
ADRB1	1	3	5	5	12	10	8	25	22	13
ADRB2	0	0	0	0	18	4	32	26	28	10
ADRB3	0	0	0	0	0	0	0	0	0	0
ADRM1	48	54	68	236	639	609	805	1335	1445	398
ADSL	62	44	102	132	662	654	794	927	936	561
ADSS1	0	0	0	4	8	32	31	29	35	12
ADSS2	10	42	54	140	1173	1443	1366	1017	1087	1166
ADTRP	0	0	0	0	0	1	6	2	0	2
AEBP1	0	0	0	0	12	13	4	14	5	0
AEBP2	26	4	35	97	698	709	626	741	983	302
AEN	50	46	40	64	2698	2391	2347	2978	2994	1217
AFAP1	2	11	0	1	127	130	166	199	172	140
AFAP1-AS1	0	0	0	0	0	4	0	0	4	2
AFAP1L1	2	14	0	14	237	231	139	138	98	51
AFAP1L2	10	8	0	0	42	23	32	31	44	22
AFDN	116	70	66	200	3104	2894	2038	3639	3211	1690
AFDN-DT	0	4	0	1	26	19	20	10	33	18
AFF1	14	24	58	72	846	804	587	691	581	367
AFF1-AS1	0	0	16	0	26	28	14	33	24	29
AFF2	28	0	24	4	277	229	228	230	242	159
AFF3	2	32	24	30	212	163	199	176	186	118
AFF4	103	34	98	78	2357	2203	1731	2357	2005	1466
AFG1L	10	0	0	10	161	123	96	139	156	96
AFG3L1P	0	14	6	2	743	655	407	830	724	316
AFG3L2	16	18	78	103	509	532	462	713	698	478
AFM	0	0	0	0	0	0	0	0	0	0
AFMID	2	32	22	18	701	585	499	755	811	251
AFP	0	0	0	0	0	0	0	0	0	0
AFTPH	14	8	2	12	766	681	657	738	636	392
AGA	0	0	0	18	132	76	92	215	169	93
AGAP1	22	29	0	70	908	857	697	1202	1325	560
AGAP1-IT1	0	0	0	0	0	6	0	2	5	0
AGAP10P	2	0	2	14	86	66	44	95	95	24
AGAP11	6	0	0	2	79	78	27	157	132	28
AGAP12P	14	0	2	12	288	269	107	344	305	54
AGAP2	0	20	0	0	119	73	63	89	115	35
AGAP2-AS1	0	0	0	6	14	7	12	10	12	5
AGAP3	104	76	66	95	1461	1530	1328	2494	3371	735
AGAP4	0	0	0	0	104	98	58	93	85	23
AGAP5	0	0	0	0	7	3	6	5	12	2
AGAP6	0	0	0	0	110	120	55	201	171	39
AGAP7P	4	0	2	6	203	167	118	223	192	62
AGAP9	0	0	0	0	42	61	27	41	57	22
AGBL1	0	0	0	0	0	0	0	0	0	0
AGBL1-AS1	0	0	0	0	0	0	0	0	0	1
AGBL2	0	0	0	0	6	9	7	22	10	8
AGBL3	0	0	2	8	142	161	107	154	131	46
AGBL4	0	0	0	0	0	4	4	1	0	0
AGBL4-AS1	0	0	0	0	0	0	0	0	0	0
AGBL4-IT1	0	0	0	0	0	0	0	0	0	0
AGBL5	2	6	22	104	885	761	838	1093	1156	462
AGBL5-AS1	0	0	0	0	8	1	1	2	3	0
AGER	0	0	0	10	151	135	99	155	169	74
AGFG1	42	30	18	63	959	977	958	959	834	608
AGFG2	16	10	12	0	207	118	208	133	174	37
AGGF1	18	24	28	58	623	670	619	744	728	502
AGK	23	6	2	60	673	762	502	693	734	351
AGL	50	48	30	36	777	686	582	728	669	500
AGMAT	0	2	0	42	87	60	71	84	81	29
AGMO	0	0	0	0	0	0	0	0	0	0
AGO1	6	26	50	42	2491	2524	1877	2207	2158	1010
AGO2	106	24	85	66	4275	4092	3130	3857	3443	1910
AGO3	0	4	22	4	1155	1085	624	745	652	410
AGO4	60	14	70	12	1216	1209	834	1026	962	511
AGPAT1	62	34	114	188	1169	1390	1252	1676	2391	835
AGPAT2	2	2	60	42	380	423	697	915	1106	335
AGPAT3	20	6	10	0	1677	1654	1926	2059	2305	965
AGPAT4	18	18	29	36	967	815	619	948	855	422
AGPAT4-IT1	0	0	0	0	85	57	28	43	39	8
AGPAT5	20	6	38	24	998	882	832	806	805	490
AGPS	16	4	42	26	997	954	1130	829	732	659
