GeneID	Riboseq_control_1	Riboseq_control_2	Riboseq_sample_1	Riboseq_sample_2	RNAseq_control_1	RNAseq_control_2	RNAseq_control_3	RNAseq_sample_1	RNAseq_sample_2	RNAseq_sample_3
ACAT1	24	20	44	188	855	842	526	645	690	671
ACAT2	8	8	0	64	528	502	263	537	476	570
ACBD3	24	20	82	148	2222	1933	956	2200	1877	1640
ACBD3-AS1	0	0	0	0	2	1	0	2	2	0
ACBD4	22	6	2	22	523	552	221	321	382	275
ACBD5	2	20	12	36	994	829	522	854	745	794
ACBD6	74	70	95	120	1109	977	416	609	623	661
ACBD7	0	0	0	0	161	155	91	348	264	311
ACBD7-DCLRE1CP1	0	0	0	0	0	2	0	0	0	0
ACCS	0	0	0	0	97	124	40	67	80	48
ACCSL	0	0	0	0	2	0	0	0	1	0
ACD	0	8	20	118	252	352	58	208	136	189
ACE	22	0	0	0	146	161	52	118	113	86
ACE2	0	0	0	0	7	10	1	3	6	3
ACER1	0	0	0	0	0	0	0	0	1	0
ACER2	12	8	0	0	34	42	22	47	68	55
ACER3	0	0	2	2	495	354	263	536	527	529
ACHE	0	0	0	0	51	40	6	43	58	39
ACIN1	136	161	156	272	6986	8047	2337	5010	4712	4171
ACKR1	0	0	0	0	0	2	0	0	0	0
ACKR2	0	0	0	0	0	0	0	0	0	0
ACKR3	0	0	0	0	0	1	0	0	0	0
ACKR4	0	0	0	0	31	14	13	24	19	1
ACLY	368	386	490	870	6218	5936	2824	5221	4792	5031
ACMSD	0	0	0	0	1	0	0	3	2	0
ACO1	6	1	6	34	323	266	267	363	266	377
ACO2	0	52	90	100	358	357	134	226	209	156
ACOD1	0	0	0	0	1	0	0	0	0	0
ACOT1	2	20	24	4	194	225	105	157	123	155
ACOT11	0	0	0	0	17	21	4	33	28	15
ACOT12	0	0	0	0	1	0	2	3	6	0
ACOT13	28	34	164	26	479	631	320	452	496	430
ACOT2	10	54	36	47	690	683	321	444	490	588
ACOT4	0	0	0	2	18	20	17	16	8	26
ACOT6	0	0	0	4	1	5	1	7	8	6
ACOT7	68	66	70	148	663	789	309	449	466	609
ACOT8	0	0	8	26	209	273	108	154	113	134
ACOT9	0	18	16	34	644	515	315	542	491	504
ACOX1	20	6	24	24	587	532	310	796	824	704
ACOX2	0	0	0	0	0	0	0	0	0	0
ACOX3	0	8	0	0	102	89	30	91	98	74
ACOXL	0	18	14	12	218	219	65	148	101	124
ACOXL-AS1	0	0	0	0	4	12	3	17	15	6
ACP1	10	56	54	100	1568	1402	853	1672	1743	1355
ACP2	20	10	18	0	154	230	89	133	147	190
ACP3	0	0	0	0	5	2	0	8	0	4
ACP4	0	0	0	0	27	19	7	12	14	21
ACP5	0	0	0	0	10	7	1	17	1	6
ACP6	6	0	2	32	829	750	229	429	444	275
ACP7	0	0	0	0	3	2	1	0	4	0
ACR	0	0	0	0	6	10	0	9	2	0
ACRBP	0	0	0	0	39	41	17	24	25	10
ACRV1	0	0	0	0	9	1	0	8	12	0
ACSBG1	0	2	0	0	15	14	6	18	9	14
ACSBG2	0	0	0	0	12	8	1	21	6	20
ACSF2	12	6	24	36	412	460	161	310	345	228
ACSF3	16	6	14	12	477	484	172	276	246	266
ACSL1	22	32	34	24	591	477	294	473	504	478
ACSL3	50	76	110	177	1374	1219	1031	1591	1781	1446
ACSL4	10	2	53	38	903	807	790	849	844	895
ACSL5	0	0	0	0	2	2	2	14	8	10
ACSL6	0	0	12	0	40	23	22	74	66	31
ACSM1	5	0	1	1	0	7	0	5	13	0
ACSM2A	0	0	0	0	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0	0	0	0	0
ACSM3	0	0	0	14	46	53	31	35	37	32
ACSM4	0	0	0	0	0	4	1	0	1	0
ACSM5	0	0	0	0	0	0	0	0	0	0
ACSM6	1	0	0	0	0	0	0	0	0	0
ACSS1	10	0	6	6	347	365	159	225	219	225
ACSS2	0	0	0	24	139	151	103	107	114	124
ACSS3	0	0	0	0	19	12	8	14	21	11
ACTA1	2	0	8	52	18	29	4	24	18	15
ACTA2	11	2	54	50	233	270	68	172	141	157
ACTA2-AS1	0	0	0	0	1	6	0	1	3	0
ACTB	238	203	670	1602	9861	11264	6409	7629	8336	11081
ACTBL2	0	4	0	0	52	46	14	44	28	12
ACTC1	2	0	0	0	3	2	0	4	1	0
ACTG1	539	535	1228	2867	18702	19838	10619	12749	13870	15745
ACTG1P17	0	0	0	0	13	20	8	21	11	6
ACTG1P20	22	48	72	112	220	195	160	199	155	209
ACTG1P4	8	0	10	42	37	38	34	22	18	31
ACTG2	0	0	0	0	0	4	0	1	0	4
ACTL10	0	0	0	0	3	4	2	6	8	2
ACTL6A	18	14	24	58	1100	1167	368	816	845	749
ACTL6B	0	0	0	0	0	0	0	2	0	0
ACTL7A	0	0	0	0	2	0	0	0	0	0
ACTL7B	0	0	0	0	0	0	0	0	0	0
ACTL8	0	0	0	0	4	6	0	3	0	1
ACTL9	0	0	0	0	0	0	0	0	0	0
ACTN1	44	74	148	182	993	1113	592	733	864	901
ACTN1-AS1	0	0	0	0	0	2	0	0	0	0
ACTN2	30	4	0	0	321	268	105	271	261	148
ACTN3	0	0	0	0	5	10	2	0	6	5
ACTN4	249	300	564	539	7341	7462	2111	4412	4148	5503
ACTR10	6	18	40	68	294	303	206	357	286	393
ACTR1A	22	44	14	96	1179	1160	655	815	840	834
ACTR1B	0	18	36	72	883	953	390	756	641	515
ACTR2	120	139	302	330	5769	5667	3897	7846	7550	7436
ACTR3	46	106	193	236	1213	1175	913	1179	1278	1350
ACTR3-AS1	0	10	0	4	41	28	26	28	44	9
ACTR3B	0	8	0	4	182	189	90	145	146	153
ACTR3BP2	0	0	0	0	3	3	1	1	3	0
ACTR3BP5	0	0	0	0	7	10	0	2	8	5
ACTR3C	0	0	0	0	79	70	17	75	60	35
ACTR5	0	0	0	0	104	122	48	102	79	122
ACTR6	6	6	8	110	637	477	328	653	629	548
ACTR8	24	18	36	8	549	494	227	409	374	384
ACTRT1	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0
ACTRT3	0	0	0	0	17	30	11	35	35	33
ACVR1	6	0	26	29	369	387	173	312	250	279
ACVR1B	12	22	28	36	2068	1946	720	1736	1642	1410
ACVR1C	0	0	0	0	94	126	88	179	160	120
ACVR2A	6	8	6	0	237	240	141	243	229	176
ACVR2B	12	24	0	48	1475	1455	734	1675	1933	1265
ACVR2B-AS1	0	0	0	14	56	58	46	31	58	36
ACVRL1	0	0	0	0	58	47	34	92	55	47
ACY1	8	0	0	0	8	15	4	6	3	10
ACY3	0	0	0	0	2	0	0	0	0	0
ACYP1	4	4	6	4	390	384	137	318	319	290
ACYP2	18	0	2	16	136	144	65	120	88	83
ADA	0	0	10	32	130	159	63	95	109	84
ADA2	0	0	0	0	3	2	0	1	2	3
ADAD1	0	0	0	0	0	0	0	0	0	0
ADAD2	0	0	0	0	0	2	0	0	1	0
ADAL	0	0	0	10	128	151	128	162	140	190
ADAM10	8	66	62	96	1351	1213	814	1276	1411	1161
ADAM11	2	0	6	22	868	861	436	648	722	615
ADAM12	0	0	0	0	190	248	106	156	171	115
ADAM15	20	6	36	12	1053	1227	443	628	624	429
ADAM17	78	126	18	74	496	480	272	617	548	396
ADAM18	0	0	0	0	0	0	0	0	0	0
ADAM19	0	18	0	0	208	216	92	183	197	175
ADAM2	0	0	0	0	0	0	0	0	0	0
ADAM20	0	0	0	0	0	2	1	0	0	0
ADAM20P1	0	0	0	0	15	16	2	9	4	4
ADAM21	0	0	0	10	48	41	16	29	41	20
ADAM21P1	0	0	0	14	1	0	1	3	2	0
ADAM22	8	0	6	8	578	566	283	696	666	399
ADAM23	4	24	32	21	438	426	245	465	437	407
ADAM28	0	1	2	0	0	3	2	5	1	0
ADAM29	0	0	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0	0	0
ADAM32	0	0	0	0	0	2	0	6	12	2
ADAM33	0	0	0	0	1	3	2	4	4	4
ADAM3A	0	0	0	0	0	0	0	0	0	0
ADAM3B	0	0	0	0	0	0	0	0	0	0
ADAM5	0	0	0	0	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0	0	0	0	0
ADAM8	0	0	0	0	93	72	12	56	59	32
ADAM9	34	28	54	38	901	776	523	862	872	758
ADAMDEC1	0	0	0	0	0	0	0	0	0	0
ADAMTS1	378	540	683	1849	15974	15729	7196	10307	10262	5222
ADAMTS10	0	1	0	0	40	56	21	62	48	31
ADAMTS12	0	0	0	0	3	2	2	0	4	2
ADAMTS13	0	0	0	0	247	255	72	162	123	108
ADAMTS14	1	0	0	0	8	6	7	5	12	3
ADAMTS15	0	20	10	0	153	119	61	95	105	144
ADAMTS16	0	0	0	6	84	96	66	61	46	87
ADAMTS17	0	32	8	36	301	350	136	277	189	247
ADAMTS18	0	0	0	0	29	25	26	75	42	20
ADAMTS19	0	9	0	0	182	198	94	170	173	122
ADAMTS19-AS1	0	0	0	0	35	32	9	40	4	7
ADAMTS2	14	0	22	40	331	305	141	276	230	141
ADAMTS20	0	4	8	0	72	75	26	91	91	40
ADAMTS3	0	0	0	0	138	131	66	151	153	105
ADAMTS4	8	0	4	0	26	22	9	31	47	26
ADAMTS5	10	10	10	46	351	323	270	201	167	109
ADAMTS6	0	0	0	0	67	63	34	130	72	66
ADAMTS7	16	22	22	4	229	219	89	166	224	131
ADAMTS7P1	0	2	2	4	2	5	0	3	2	2
ADAMTS8	0	0	20	22	172	210	72	122	137	90
ADAMTS9	20	2	0	0	115	122	69	100	117	100
ADAMTS9-AS1	0	0	0	0	0	0	0	2	0	1
ADAMTS9-AS2	0	0	0	0	2	8	0	4	2	2
ADAMTSL1	0	0	0	2	10	17	4	6	6	3
ADAMTSL2	0	0	0	0	0	0	0	0	0	0
ADAMTSL3	0	1	0	0	58	43	28	50	44	42
ADAMTSL4	0	0	0	0	62	55	12	26	40	29
ADAMTSL4-AS1	0	0	0	0	6	8	3	4	10	3
ADAMTSL5	0	0	0	0	12	9	3	13	12	8
ADAP1	4	4	0	6	103	111	40	71	68	60
ADAP2	2	2	2	12	155	198	77	175	146	120
ADAR	70	74	94	177	4003	3727	2013	3554	3304	3240
ADARB1	60	16	2	42	688	712	251	676	538	453
ADARB2	0	0	0	0	8	6	0	5	8	2
ADARB2-AS1	0	0	0	0	0	0	0	0	0	0
ADAT1	16	10	32	10	437	434	206	344	263	315
ADAT2	12	10	14	20	1037	960	525	1063	1106	670
ADAT3	0	8	20	12	238	269	90	138	88	93
ADCK1	0	0	0	6	98	93	49	50	57	52
ADCK2	12	40	52	70	853	944	402	481	598	471
ADCK5	4	0	14	28	132	129	36	75	53	69
ADCY1	17	0	11	1	1156	1089	485	1077	1288	981
ADCY10	0	0	0	0	11	10	1	16	8	2
ADCY10P1	0	0	0	0	52	41	11	54	52	21
ADCY2	0	0	0	0	2	0	2	0	0	2
ADCY3	24	20	92	94	1293	1430	585	844	802	582
ADCY4	0	0	0	0	4	3	0	1	4	2
ADCY5	0	0	0	0	38	37	34	55	69	41
ADCY6	58	14	38	52	1305	1273	440	1203	1152	872
ADCY6-DT	0	0	0	0	33	26	6	21	11	5
ADCY7	12	6	14	18	384	424	134	228	238	236
ADCY8	0	1	0	0	0	4	0	1	0	0
ADCY9	34	28	26	50	1286	1375	498	759	741	576
ADCYAP1	0	0	0	0	0	2	0	0	6	0
ADCYAP1R1	0	0	0	0	10	12	0	31	24	11
ADD1	35	28	138	122	1342	1301	621	937	844	1051
ADD2	30	24	26	64	1844	1840	669	1340	1228	1000
ADD3	58	32	68	34	1490	1336	1121	1639	1537	1299
ADD3-AS1	0	0	0	0	12	3	7	2	2	0
ADGB	0	0	0	0	0	0	0	0	0	0
ADGRA1	0	0	0	0	0	0	0	6	0	0
ADGRA1-AS1	0	0	0	0	0	0	0	0	0	0
ADGRA2	2	2	2	20	127	159	83	99	151	112
ADGRA3	7	16	22	0	826	1028	470	932	869	761
ADGRB1	0	14	10	12	121	191	49	104	72	74
ADGRB2	1	8	15	2	257	260	84	244	290	163
ADGRB3	0	0	0	0	2	2	0	4	2	2
ADGRD1	0	0	0	0	2	0	0	2	4	0
ADGRD1-AS1	0	0	0	0	0	0	0	0	0	0
ADGRE1	0	0	0	0	2	0	0	0	0	0
ADGRE2	0	0	4	0	59	81	21	78	89	41
ADGRE3	0	0	0	0	0	0	0	0	0	0
ADGRE4P	0	0	0	0	0	0	1	0	0	0
ADGRE5	38	60	66	96	782	885	309	572	512	454
ADGRF1	0	0	0	0	0	0	0	0	0	0
ADGRF2	0	0	0	0	0	1	1	2	6	2
ADGRF3	8	0	0	0	39	17	7	10	14	7
ADGRF4	0	0	0	0	25	25	9	38	37	47
ADGRF5	0	0	0	0	0	1	0	3	0	0
ADGRF5-AS1	0	0	0	0	0	0	0	0	0	0
ADGRG1	0	0	0	0	4	2	1	5	8	5
ADGRG2	2	0	2	4	116	78	105	140	153	110
ADGRG3	0	0	0	0	0	0	0	0	0	0
ADGRG4	0	0	0	0	0	0	2	2	0	0
ADGRG5	0	0	0	0	1	0	0	0	0	0
ADGRG6	12	58	26	54	900	833	689	1072	1109	640
ADGRG7	0	0	0	0	0	0	0	0	0	0
ADGRL1	14	22	10	62	2202	2303	826	1688	1865	1179
ADGRL2	66	54	12	42	1331	1039	844	1842	1748	1283
ADGRL3	24	2	16	0	395	351	226	428	315	258
ADGRL3-AS1	0	0	0	0	0	0	0	0	0	0
ADGRL4	0	0	0	0	0	1	0	0	8	0
ADGRV1	24	6	7	4	824	689	395	938	914	512
ADH1A	0	0	0	0	0	0	0	0	0	1
ADH1B	0	0	0	0	0	0	0	0	0	0
ADH1C	0	0	0	0	1	0	0	0	0	0
ADH4	0	0	0	0	0	0	0	0	0	0
ADH5	6	0	40	32	425	426	343	448	443	465
ADH6	0	0	0	0	1	3	0	0	0	1
ADH7	0	0	0	0	0	0	0	0	0	0
ADHFE1	8	0	0	0	20	18	7	24	17	22
ADI1	0	10	24	2	798	745	446	890	823	978
ADIG	0	0	0	0	0	0	0	0	0	0
ADIPOQ	0	0	0	0	0	0	0	0	0	0
ADIPOQ-AS1	0	0	0	0	0	0	0	0	0	0
ADIPOR1	32	14	42	18	1373	1435	751	1392	1700	1470
ADIPOR2	40	42	76	36	2029	1896	1118	2391	2514	2024
ADIRF	0	0	0	0	14	12	2	13	1	1
ADK	82	20	50	52	461	421	245	397	450	431
ADM	22	32	0	62	536	638	217	398	405	248
ADM2	0	0	12	6	240	397	47	164	125	79
ADM5	0	0	0	0	166	221	103	98	164	100
ADNP	46	48	72	117	977	956	665	1106	1000	794
ADNP-AS1	0	0	0	0	15	18	10	33	29	2
ADNP2	72	62	36	34	1044	999	529	883	879	772
ADO	34	34	67	42	722	744	455	604	666	589
ADORA1	0	0	10	0	74	89	21	83	47	67
ADORA2A	0	0	0	0	18	34	7	20	28	9
ADORA2A-AS1	0	0	0	0	40	45	14	41	43	17
ADORA2B	12	4	26	40	251	237	133	210	229	166
ADORA3	0	0	0	0	0	0	0	0	0	0
ADPGK	2	12	24	112	1243	1139	640	1063	894	794
ADPGK-AS1	0	0	0	0	8	12	3	2	1	6
ADPRH	4	4	0	0	32	25	20	37	26	49
ADPRHL1	0	1	0	0	53	50	17	43	16	12
ADPRM	0	0	0	4	110	89	43	102	123	88
ADPRS	20	16	13	38	635	825	168	497	378	319
ADRA1A	0	0	0	0	0	0	2	2	2	4
ADRA1B	0	0	0	0	19	41	13	26	16	21
ADRA1D	0	0	0	0	6	4	4	6	2	4
ADRA2A	0	0	0	8	25	27	12	20	2	18
ADRA2B	0	0	0	0	12	22	4	12	8	11
ADRA2C	0	0	0	2	420	442	157	174	226	183
ADRB1	3	5	2	6	25	22	13	12	10	8
ADRB2	0	0	0	0	26	28	10	18	4	32
ADRB3	0	0	0	0	0	0	0	0	0	0
ADRM1	46	54	68	236	1335	1445	398	639	609	805
ADSL	62	44	102	132	927	936	561	662	654	794
ADSS1	0	0	0	4	29	35	12	8	32	31
ADSS2	8	42	54	144	1017	1087	1166	1173	1443	1366
ADTRP	0	0	0	0	2	0	2	0	1	6
AEBP1	0	0	0	1	14	5	0	12	13	4
AEBP2	24	4	35	97	741	983	302	698	709	626
AEN	50	46	40	64	2978	2994	1217	2698	2391	2347
AFAP1	2	11	0	1	199	172	140	127	130	166
AFAP1-AS1	0	0	0	0	0	4	2	0	4	0
AFAP1L1	2	14	0	14	138	98	51	237	231	139
AFAP1L2	10	8	0	0	31	44	22	42	23	32
AFDN	114	70	66	200	3639	3211	1690	3104	2894	2038
AFDN-DT	0	4	0	0	10	33	18	26	19	20
AFF1	14	24	58	72	691	581	367	846	804	587
AFF1-AS1	0	0	16	0	33	24	29	26	28	14
AFF2	28	6	24	8	230	242	159	277	229	228
AFF3	0	32	16	26	176	186	118	212	163	199
AFF4	103	34	98	78	2357	2005	1466	2357	2203	1731
AFG1L	10	0	0	10	139	156	96	161	123	96
AFG3L1P	0	14	6	2	830	724	316	743	655	407
AFG3L2	16	18	78	103	713	698	478	509	532	462
AFM	0	0	0	0	0	0	0	0	0	0
AFMID	2	32	22	18	755	811	251	701	585	499
AFP	0	0	0	0	0	0	0	0	0	0
AFTPH	14	8	2	12	738	636	392	766	681	657
AGA	0	0	0	18	215	169	93	132	76	92
AGAP1	22	30	0	70	1202	1325	560	908	857	697
AGAP1-IT1	0	0	0	0	2	5	0	0	6	0
AGAP10P	6	0	2	12	95	94	24	86	66	44
AGAP11	4	0	0	0	157	132	28	79	78	27
AGAP12P	12	0	4	10	344	305	54	288	269	107
AGAP2	0	20	0	0	89	115	35	119	73	63
AGAP2-AS1	0	0	0	6	10	12	5	14	7	12
AGAP3	104	74	66	95	2494	3371	735	1461	1530	1328
AGAP4	0	0	0	0	93	85	23	104	98	58
AGAP5	0	0	0	0	5	12	2	7	3	6
AGAP6	0	0	0	0	201	171	39	110	120	55
AGAP7P	0	0	2	6	223	192	62	203	167	118
AGAP9	0	0	0	0	41	58	22	42	61	27
AGBL1	0	0	0	0	0	0	0	0	0	0
AGBL1-AS1	0	0	0	0	0	0	1	0	0	0
AGBL2	0	0	0	0	22	10	8	6	9	7
AGBL3	0	0	2	8	154	131	46	142	161	107
AGBL4	0	0	0	0	1	0	0	0	4	4
AGBL4-AS1	0	0	0	0	0	0	0	0	0	0
AGBL4-IT1	0	0	0	0	0	0	0	0	0	0
AGBL5	2	6	22	104	1093	1156	462	885	761	838
AGBL5-AS1	0	0	0	0	2	3	0	8	1	1
AGER	0	0	0	10	155	169	74	151	135	99
AGFG1	42	30	18	63	959	834	608	959	977	958
AGFG2	16	10	12	0	133	174	37	207	118	208
AGGF1	18	24	28	58	744	728	502	623	670	619
AGK	23	6	2	60	693	734	351	673	762	502
AGL	48	48	30	36	728	669	500	777	686	582
AGMAT	0	2	0	42	84	81	29	87	60	71
AGMO	0	0	0	0	0	0	0	0	0	0
AGO1	6	26	50	42	2207	2158	1010	2491	2524	1877
AGO2	106	24	85	66	3857	3443	1910	4275	4092	3130
AGO3	0	6	22	4	745	652	410	1155	1085	624
AGO4	70	24	86	14	1026	962	511	1216	1209	834
AGPAT1	62	34	114	188	1676	2391	835	1169	1390	1252
AGPAT2	0	2	60	42	915	1106	335	380	423	697
AGPAT3	20	6	10	0	2059	2305	965	1677	1654	1926
AGPAT4	18	18	29	36	948	855	422	967	815	619
AGPAT4-IT1	0	0	0	0	43	39	8	85	57	28
AGPAT5	20	6	38	24	806	805	490	998	882	832
AGPS	16	4	42	26	829	732	659	997	954	1130
